left_leg_angle,right_leg_angle,knee_dist,ankle_dist,ankle_cross,knee_cross,label
146.8,142.54,0.8195489804856679,1.500651907709032,0,0,1
137.95,143.93,0.9215061799572892,1.4488323670818473,0,1,1
134.31,147.63,0.9529009171220778,1.4391413701892954,0,1,1
132.98,151.21,1.0035570737574193,1.4215140470710892,0,1,1
132.62,152.98,1.0158399634641606,1.4272673546662897,0,1,1
132.7,153.86,1.0237661259610056,1.4322235601250415,0,1,1
134.41,152.91,0.9996814567841203,1.4107326605099446,0,1,1
133.88,153.97,1.004827072190182,1.385835322285759,0,1,1
133.57,154.06,0.9962551925001695,1.3749020280605933,0,1,1
142.76,154.3,0.9149436495787969,1.365247919460386,0,1,1
141.97,154.38,0.913275371821921,1.3561414417101763,0,1,1
141.15,154.12,0.9137832804409823,1.3510371380054682,0,1,1
140.77,153.95,0.9125736354260225,1.3496983197157932,0,1,1
140.16,151.33,0.9142031280040004,1.3501063541351048,0,1,1
133.66,153.09,0.9955011511363264,1.3661356290912376,0,1,1
130.03,154.55,1.043220846434151,1.3807312512588699,0,1,1
130.87,155.17,1.0592250838678332,1.3887206381314223,0,1,1
129.35,155.28,1.0740961339688213,1.3931761718194395,0,1,1
127.72,156.75,1.120394287863088,1.3921640021741641,0,1,1
126.97,157.55,1.1445089664683112,1.3936458687271867,0,1,1
127.13,157.34,1.132050618438061,1.3960750019620694,0,1,1
125.66,157.34,1.1502420911248097,1.3957920310804357,0,1,1
124.08,156.87,1.155988929573663,1.3945054385413835,0,1,1
123.9,156.62,1.150048269491355,1.3958994217338838,0,1,1
123.7,156.46,1.1494161492458015,1.3998885952198619,0,1,1
123.01,156.64,1.1556344037787516,1.4048327832078051,0,1,1
114.35,156.59,1.1976879444110538,1.4096237096155697,0,1,1
111.13,156.67,1.2177735520597623,1.4175251817247945,0,1,1
113.23,156.77,1.2077035198849357,1.4204256556638122,0,1,1
114.66,156.88,1.2005124843824282,1.4225083039053452,0,1,1
115.02,156.82,1.198457049764975,1.4139944709260837,0,1,1
116.24,156.88,1.190271643121342,1.4142617170216367,0,1,1
116.92,156.93,1.1854707577011536,1.4140069126824102,0,1,1
118.57,157.12,1.1757444742726273,1.4088791562773015,0,1,1
119.44,157.19,1.1687021441779673,1.4060671747159459,0,1,1
119.12,155.92,1.11842660723164,1.3925069685884484,0,1,1
119.53,155.15,1.0872443744063982,1.3866428098585235,0,1,1
119.44,154.85,1.0788196748140384,1.3838988926329228,0,1,1
119.47,156.05,1.121685265793572,1.4119841347614264,0,1,1
120.48,156.76,1.1376603381064068,1.4282895114165348,0,1,1
120.59,156.36,1.1240237777551063,1.4292074539689108,0,1,1
123.98,159.14,1.1530704944842356,1.4345592069730608,0,1,1
118.74,159.11,1.180342699577365,1.4398908665753372,0,1,1
117.76,159.16,1.187167027411417,1.446531153297754,0,1,1
114.83,159.12,1.2028107067690783,1.4481804094102229,0,1,1
117.5,159.98,1.2351590515929325,1.4495869341239216,0,1,1
119.35,160.16,1.2209113583190538,1.450757229667353,0,1,1
121.02,159.44,1.2051095555992042,1.4465737590532415,0,1,1
121.17,159.56,1.193190533360374,1.4534566802309061,0,1,1
121.47,159.55,1.1809345140942764,1.4563649208136837,0,1,1
121.47,158.78,1.1368417457473725,1.4563400115060812,0,1,1
121.48,158.29,1.1088036758472997,1.4561483611108201,0,1,1
121.5,157.84,1.0930651630266257,1.4414370535795935,0,1,1
121.96,157.92,1.0861784341953193,1.4408638141313566,0,1,1
117.7,157.57,1.1067873276365652,1.4327260838179103,0,1,1
117.92,157.42,1.1038643269598452,1.4289768500876079,0,1,1
118.12,157.43,1.1030086638578893,1.4303373563128419,0,1,1
118.41,158.21,1.14289583465497,1.4443197829427674,0,1,1
118.68,158.54,1.1607387646237257,1.4536713531144647,0,1,1
112.64,158.0,1.1936924882732165,1.450904933322339,0,1,1
110.02,157.58,1.2071866180065618,1.4492735785781297,0,1,1
109.52,157.22,1.2064740450335243,1.4487370352776519,0,1,1
108.29,156.83,1.2173805334591852,1.45142451696955,0,1,1
109.31,156.49,1.2147896408523584,1.4542962798785035,0,1,1
107.23,156.21,1.2252438739191622,1.4533729924280752,0,1,1
105.5,155.13,1.2367828620057941,1.4601521473856116,0,1,1
105.14,154.81,1.2503611090544096,1.4679781947564523,0,1,1
105.1,154.35,1.2532870579606106,1.4745976416799493,0,1,1
104.74,153.4,1.2318323368073676,1.468592012023859,0,1,1
103.21,152.91,1.233558304448295,1.472325544864922,0,1,1
102.11,152.52,1.2363457809408613,1.478831739213224,0,1,1
101.95,152.26,1.2209641184365538,1.4613751432231195,0,1,1
101.84,151.98,1.206064937252357,1.4522662167660858,0,1,1
101.03,151.67,1.208402163770169,1.4423475602010638,0,1,1
100.95,152.06,1.2296324814863082,1.442017791449025,0,1,1
101.0,149.69,1.2051736922347949,1.442610686805525,0,1,1
100.98,150.32,1.2192482136417273,1.4556594946662895,0,1,1
100.69,151.22,1.2227092094200773,1.4513379069366985,0,1,1
99.39,150.81,1.2128556745098635,1.454525593422914,0,1,1
99.27,151.39,1.2129893557743106,1.4536803704484504,0,1,1
97.93,151.19,1.2135148299672713,1.4525119056044764,0,1,1
96.51,150.53,1.2138998238352734,1.4574262157680753,0,1,1
94.4,150.99,1.230446847761766,1.4630281759775932,0,1,1
93.13,151.56,1.2418188515769526,1.4645556292899173,0,1,1
92.63,151.99,1.2452591897215024,1.466130123066768,0,1,1
91.93,152.08,1.2466170428644805,1.47308085899641,0,1,1
91.58,152.24,1.2477662987644333,1.4758461859220284,0,1,1
91.45,154.59,1.2865755328727955,1.4981419606397541,0,1,1
91.15,154.41,1.2794457296113313,1.5005880747300373,0,1,1
89.35,154.52,1.31012587157092,1.499356545551653,0,1,1
88.77,155.08,1.3024432773861125,1.5007661165817812,0,1,1
93.95,153.98,1.2876957474208577,1.491631090116378,0,1,1
95.19,152.6,1.1984826361749228,1.4805268545752261,0,1,1
105.04,155.23,1.16598170922378,1.4553679882621184,0,1,1
105.65,156.69,1.1745971539800877,1.4413873142163423,0,1,1
104.08,157.29,1.1838105157395564,1.4335473903568379,0,1,1
111.68,156.96,1.152604742127632,1.4248892656891665,0,1,1
112.88,154.17,1.172633097674953,1.4296848675241987,0,1,1
113.51,154.85,1.2097562038463217,1.429136095790127,0,1,1
104.87,154.55,1.2337539341001853,1.4199298072033415,0,1,1
98.63,154.91,1.2578927185669526,1.4350153886718697,0,1,1
96.4,155.36,1.2767940727597993,1.452096880142799,0,1,1
96.65,155.52,1.276442272492663,1.461882643598921,0,1,1
98.72,156.32,1.2824404609451547,1.4818285549112562,0,1,1
98.62,156.68,1.2824497524000893,1.476344014717263,0,1,1
98.47,156.96,1.28383913339531,1.4706741035023767,0,1,1
98.61,152.45,1.2729906036424468,1.474137359528445,0,1,1
98.48,153.6,1.2757362891128512,1.4680600242725266,0,1,1
100.42,155.64,1.272637452410829,1.4699692916629261,0,1,1
102.11,155.19,1.2429986851548738,1.472382889246014,0,1,1
101.22,155.62,1.2804503452629128,1.4836221176195585,0,1,1
100.71,155.84,1.3035537167710554,1.471302792161114,0,1,1
98.19,155.81,1.319406834102494,1.458555100374457,0,1,1
98.26,156.34,1.323478457380395,1.4512482872029775,0,1,1
99.36,148.2,1.3052960144604862,1.420634380414468,0,1,1
99.19,145.55,1.3060526529616086,1.3915607207967147,0,1,1
99.91,145.4,1.3175444547754984,1.378349373890262,0,1,1
101.4,144.17,1.256395560377749,1.3053764015302964,0,1,1
103.17,142.53,1.2491365848726002,1.2820777859860548,0,1,1
104.1,142.34,1.2502466110179429,1.2680119233281457,0,0,1
107.4,140.63,1.2201926477419336,1.2652743020915207,0,0,1
104.74,139.3,1.2255582289039464,1.2743109083553101,0,0,1
103.43,146.41,1.2319212417675443,1.2929511085535366,0,1,1
102.57,151.81,1.2635342031357264,1.3540654903421594,0,1,1
98.02,152.66,1.2655586629639357,1.3713867612125918,0,1,1
95.7,152.71,1.260377740038369,1.378595665067814,0,1,1
95.23,151.95,1.2416181222090152,1.3818047145797445,0,1,1
101.65,153.63,1.2347570106307268,1.3794006359431714,0,1,1
105.86,155.51,1.2414781638661778,1.362659437072175,0,1,1
125.38,156.17,1.169876604685198,1.3053656178351423,0,1,1
129.12,153.97,1.1402368231010394,1.24072395424135,0,1,1
127.26,154.5,1.2357173704579714,1.2260912264679835,0,0,1
128.44,153.1,1.1292311013791427,1.1948153871604743,0,0,1
127.31,148.11,1.1410019264385916,1.1997651177780542,0,0,1
125.6,149.6,1.2148923819222723,1.2427054238965416,0,0,1
124.73,150.27,1.1611806978191512,1.3144737895180036,0,0,1
124.12,150.43,1.126814820269107,1.347786156440277,0,0,1
130.4,150.31,1.0789476929536634,1.3838718862168704,0,0,1
125.47,151.45,1.1050563649015566,1.4292622072245462,0,1,1
127.82,152.32,1.0817224119265278,1.4464140327801076,0,1,1
129.8,152.31,1.077957182747678,1.4587774980608554,0,1,1
126.04,152.66,1.102729240926802,1.4666688978116122,0,1,1
124.3,155.43,1.1558117326190243,1.4676813586757287,0,1,1
118.43,156.17,1.166871753759275,1.4671064000332321,0,1,1
126.62,156.01,1.1140180322892899,1.4082970397744146,0,1,1
119.62,157.33,1.186066713460575,1.3635135081099397,0,1,1
110.88,157.66,1.2406980218737635,1.3374884511699616,0,1,1
110.83,157.49,1.2255868943361221,1.3203904059305225,0,1,1
112.05,157.67,1.2165025329992019,1.3471272559719605,0,1,1
114.06,156.8,1.1726774176449264,1.379107368989379,0,1,1
114.95,156.22,1.137946053887376,1.4080901150795035,0,1,1
108.02,155.07,1.158822154702051,1.4299252720239894,0,1,1
108.1,154.14,1.136804095606199,1.4189858374211897,0,1,1
102.77,153.81,1.1597383860234516,1.4054489254935103,0,1,1
101.82,153.9,1.162395612922431,1.402778426915694,0,1,1
101.12,154.4,1.1701076773302477,1.4057572102605465,0,1,1
99.76,154.71,1.185185109624385,1.40226511406395,0,1,1
98.31,155.3,1.2143687191826995,1.404998039378473,0,1,1
96.53,156.7,1.2737168182794385,1.3655806868852367,0,1,1
93.89,157.07,1.3001355371537238,1.3275569546648713,0,1,1
95.64,157.42,1.3023947815040844,1.3173782862258034,0,1,1
98.97,157.86,1.30000753859901,1.3116319335615227,0,1,1
97.76,157.71,1.3011367065168797,1.3135792864578821,0,1,1
97.55,157.66,1.29400648424647,1.3168383097127483,0,1,1
118.46,157.48,1.1439604604025053,1.3237930941237372,0,1,1
113.76,157.12,1.1691524379994271,1.3401440660501889,0,1,1
110.99,156.08,1.1590412528515506,1.358507024647479,0,1,1
119.57,155.1,1.096024394318349,1.3689474787690374,0,1,1
115.07,153.55,1.0812204760370874,1.3680982842690423,0,1,1
114.24,152.15,1.0451658643144288,1.3671241880682645,0,1,1
108.01,151.97,1.0732497819046358,1.3677249886994023,0,1,1
126.22,152.28,0.9906760548082154,1.3641149501902863,0,1,1
141.05,151.87,0.9604946306229478,1.3656497496719295,0,1,1
145.65,151.52,0.9463776025008829,1.3728765368122966,0,1,1
143.09,149.61,0.9130454793285485,1.3855708278670884,0,1,1
146.92,147.32,0.9219835294148903,1.4004214918894538,0,1,1
163.59,147.78,0.9595832170250256,1.4331600349675566,0,1,1
171.27,143.87,0.930710508047207,1.4207920792043953,0,1,1
171.57,144.97,0.9559907151766927,1.4277934239376533,0,1,1
175.84,145.12,0.9612409212046792,1.4235002901723581,0,1,1
166.62,145.53,1.0094460795416251,1.414305333145446,0,1,1
178.71,145.79,1.031314284104151,1.4152987132153616,0,1,1
177.99,145.58,1.03116175619494,1.4091940788413777,0,1,1
140.71,145.11,1.0792984227215738,1.4035269960608128,0,1,1
132.53,144.92,1.0964920278867727,1.4063338943678456,0,1,1
