torso_tilt,left_angle,right_angle,label
25.04,71.35,121.05,1.0
22.96,63.8,129.52,1.0
22.71,67.99,123.86,1.0
23.06,71.99,118.29,1.0
23.38,76.99,112.88,1.0
21.55,77.44,112.87,1.0
19.3,74.99,113.5,1.0
16.98,70.45,116.48,1.0
14.59,67.98,117.0,1.0
13.37,67.15,116.42,1.0
11.29,64.65,116.84,1.0
9.78,64.14,115.89,1.0
9.35,65.62,114.26,1.0
9.0,64.23,115.95,1.0
8.52,60.8,120.14,1.0
8.24,59.62,121.43,1.0
8.0,60.08,120.61,1.0
8.58,60.84,120.56,1.0
8.57,60.81,120.51,1.0
8.75,60.74,120.73,1.0
9.02,61.42,120.08,1.0
9.62,62.18,119.84,1.0
9.96,62.91,119.31,1.0
10.2,62.7,119.77,1.0
10.67,63.54,119.25,1.0
10.71,62.61,120.42,1.0
10.74,62.51,120.55,1.0
10.75,62.47,120.58,1.0
10.66,61.41,121.78,1.0
10.8,55.92,128.0,1.0
10.98,55.2,128.85,1.0
10.75,53.77,130.39,1.0
10.99,54.26,130.09,1.0
11.15,52.86,132.01,1.0
11.18,52.99,131.97,1.0
11.2,52.0,133.22,1.0
11.29,53.36,131.77,1.0
11.31,53.57,131.59,1.0
11.47,54.46,130.83,1.0
11.47,55.01,130.24,1.0
11.48,53.96,131.52,1.0
11.59,53.27,132.29,1.0
11.72,51.13,134.49,1.0
12.06,55.56,129.88,1.0
11.98,57.22,127.82,1.0
12.47,52.36,134.48,1.0
12.96,60.11,125.78,1.0
13.62,64.88,120.7,1.0
14.14,60.84,125.47,1.0
14.44,64.02,121.97,1.0
14.43,64.05,121.89,1.0
14.48,63.11,122.84,1.0
14.39,62.93,123.03,1.0
14.04,62.3,123.5,1.0
13.33,61.49,123.67,1.0
12.63,60.86,123.91,1.0
12.28,61.05,123.29,1.0
12.35,64.44,119.02,1.0
12.39,66.03,117.15,1.0
10.78,52.96,132.21,1.0
9.9,50.14,134.01,1.0
8.84,47.16,136.42,1.0
8.73,49.07,134.12,1.0
7.59,46.95,135.34,1.0
6.8,46.7,134.63,1.0
4.86,44.29,135.66,1.0
2.26,37.31,140.82,1.0
0.97,22.58,154.2,1.0
0.49,19.11,158.66,1.0
0.07,15.81,162.87,1.0
0.91,23.9,154.74,1.0
5.94,43.73,137.65,1.0
6.75,46.69,134.82,1.0
6.45,44.36,137.04,1.0
6.32,44.55,136.56,1.0
6.18,42.22,139.15,1.0
7.23,42.02,140.59,1.0
7.17,41.58,141.05,1.0
7.68,43.44,139.43,1.0
7.6,43.45,139.47,1.0
7.57,46.28,135.95,1.0
7.6,48.46,133.29,1.0
7.53,49.54,131.96,1.0
7.67,51.89,129.59,1.0
8.28,48.76,133.47,1.0
9.95,53.84,130.17,1.0
12.92,65.31,120.66,1.0
13.1,68.88,117.72,1.0
7.88,60.18,122.84,1.0
9.04,60.78,122.91,1.0
10.92,66.53,117.9,1.0
12.82,68.01,117.64,1.0
15.13,73.09,113.85,1.0
16.06,74.06,113.63,1.0
16.68,76.05,111.53,1.0
16.79,77.05,110.31,1.0
16.92,77.17,109.83,1.0
17.51,76.97,110.06,1.0
19.15,80.24,107.28,1.0
19.56,81.04,106.28,1.0
19.67,82.0,104.98,1.0
19.06,82.39,103.51,1.0
18.44,82.42,103.05,1.0
19.47,84.19,101.42,1.0
19.82,84.35,101.76,1.0
20.05,83.88,102.64,1.0
21.09,85.18,102.06,1.0
20.91,85.99,100.64,1.0
23.05,88.26,99.57,1.0
23.66,86.13,101.39,1.0
23.55,84.84,102.37,1.0
23.64,84.73,102.33,1.0
23.82,85.06,101.8,1.0
23.64,85.46,101.29,1.0
24.02,85.13,101.88,1.0
24.36,85.47,101.79,1.0
24.39,86.0,101.28,1.0
24.61,86.25,101.11,1.0
24.3,86.06,101.17,1.0
24.32,85.8,101.35,1.0
24.09,84.73,102.21,1.0
24.02,85.47,101.47,1.0
23.49,85.58,100.94,1.0
23.53,85.71,100.71,1.0
23.27,85.58,100.73,1.0
23.25,85.47,100.9,1.0
23.24,85.75,100.64,1.0
23.26,85.9,100.63,1.0
23.71,87.15,99.57,1.0
23.86,87.15,99.57,1.0
23.44,87.16,99.2,1.0
23.38,87.12,99.21,1.0
23.61,86.91,99.62,1.0
23.55,87.38,99.2,1.0
23.72,87.43,99.35,1.0
23.83,87.53,99.31,1.0
24.32,88.0,99.21,1.0
24.62,88.49,98.85,1.0
24.78,88.47,99.04,1.0
25.19,90.87,96.89,1.0
24.93,91.11,97.28,1.0
19.06,86.1,100.37,1.0
17.55,83.01,104.21,1.0
16.6,77.34,109.94,1.0
16.37,77.08,110.06,1.0
16.33,78.11,108.6,1.0
16.17,77.88,108.49,1.0
16.01,76.36,109.74,1.0
15.84,77.29,108.62,1.0
15.97,77.71,108.2,1.0
16.17,79.06,106.73,1.0
16.33,80.77,104.82,1.0
16.43,81.27,104.23,1.0
16.52,82.15,103.17,1.0
16.61,81.65,103.56,1.0
16.79,82.45,102.57,1.0
16.99,82.61,102.46,1.0
17.29,82.99,102.26,1.0
17.34,83.01,102.28,1.0
17.49,83.14,102.01,1.0
17.68,83.36,101.88,1.0
17.81,83.59,101.61,1.0
17.89,84.25,100.83,1.0
17.88,83.48,101.71,1.0
18.21,83.58,101.88,1.0
18.14,83.08,102.45,1.0
18.25,83.23,102.45,1.0
18.28,82.98,102.77,1.0
18.36,82.97,102.88,1.0
18.34,82.7,103.22,1.0
18.28,82.6,103.22,1.0
18.3,82.56,103.31,1.0
18.26,82.29,103.62,1.0
17.96,80.93,104.88,1.0
17.96,80.68,105.21,1.0
17.76,80.35,105.55,1.0
17.58,82.28,103.34,1.0
17.24,75.11,111.78,1.0
16.71,69.48,118.0,1.0
15.85,65.3,122.08,1.0
15.33,67.4,118.84,1.0
15.18,69.53,116.01,1.0
15.01,70.23,114.92,1.0
14.85,71.38,113.47,1.0
14.87,72.45,112.3,1.0
15.07,73.25,111.64,1.0
15.23,74.51,110.55,1.0
15.75,75.22,110.26,1.0
15.74,75.06,110.51,1.0
15.7,75.68,109.83,1.0
15.91,76.55,108.95,1.0
15.72,74.6,110.91,1.0
15.73,74.98,111.33,1.0
16.16,79.6,106.43,1.0
17.93,85.75,99.42,1.0
17.93,82.65,103.09,1.0
18.06,81.34,104.69,1.0
18.44,81.29,105.56,1.0
18.61,82.17,104.68,1.0
18.85,81.96,105.34,1.0
18.9,82.42,104.85,1.0
18.84,82.64,104.82,1.0
18.79,82.58,104.93,1.0
18.79,83.17,104.29,1.0
18.62,84.19,103.29,1.0
18.72,84.83,102.67,1.0
18.7,85.02,102.5,1.0
18.61,84.43,103.38,1.0
18.66,85.09,102.71,1.0
18.67,85.3,102.46,1.0
18.67,85.05,102.85,1.0
18.66,84.79,102.97,1.0
18.66,84.24,103.45,1.0
18.74,84.24,103.48,1.0
18.73,84.08,103.59,1.0
18.8,83.81,103.85,1.0
18.78,83.82,103.79,1.0
18.89,84.01,103.62,1.0
10.91,53.75,129.4,1.0
11.52,54.79,129.63,1.0
12.62,56.82,128.99,1.0
12.52,58.99,126.12,1.0
12.95,61.99,122.75,1.0
13.07,62.26,122.62,1.0
13.17,60.36,125.3,1.0
13.4,61.25,124.6,1.0
13.56,63.69,121.71,1.0
13.83,62.17,123.94,1.0
13.97,58.82,128.48,1.0
13.73,59.4,127.55,1.0
13.35,57.22,129.83,1.0
12.99,57.64,128.88,1.0
12.99,58.72,127.66,1.0
13.03,60.41,125.84,1.0
13.04,61.97,123.96,1.0
13.09,61.41,124.68,1.0
13.42,63.22,122.79,1.0
13.83,63.07,123.4,1.0
13.87,62.65,123.79,1.0
13.82,62.71,123.75,1.0
13.97,63.15,123.42,1.0
14.0,63.18,123.43,1.0
14.55,63.91,123.27,1.0
14.56,64.31,122.8,1.0
14.54,64.68,122.46,1.0
14.51,65.25,121.87,1.0
14.49,65.24,121.84,1.0
14.49,65.72,121.36,1.0
14.57,65.78,121.37,1.0
14.66,67.27,120.01,1.0
14.72,69.92,117.31,1.0
14.78,67.71,118.98,1.0
13.46,55.69,131.31,1.0
12.73,53.8,132.52,1.0
12.81,60.48,124.77,1.0
11.73,56.62,128.01,1.0
11.52,55.58,128.96,1.0
11.61,57.04,127.11,1.0
11.4,56.6,127.2,1.0
10.61,55.74,127.37,1.0
9.75,55.68,126.54,1.0
8.99,54.82,126.94,1.0
8.7,53.58,128.15,1.0
8.83,53.86,128.07,1.0
8.49,53.21,128.61,1.0
8.27,51.13,130.9,1.0
8.31,51.74,130.14,1.0
8.1,50.58,131.44,1.0
8.15,50.6,131.44,1.0
8.18,50.72,131.3,1.0
8.27,51.51,130.41,1.0
7.99,50.98,130.75,1.0
7.97,50.91,130.82,1.0
6.94,48.78,132.56,1.0
6.95,49.15,132.84,1.0
7.0,47.89,134.63,1.0
5.01,38.39,143.27,1.0
2.87,19.87,161.39,1.0
2.15,25.16,154.68,1.0
3.63,31.24,149.18,1.0
4.05,32.48,148.12,1.0
4.62,32.89,147.79,1.0
4.67,34.75,145.51,1.0
4.83,34.12,146.06,1.0
5.74,37.7,142.62,1.0
6.2,39.84,140.65,1.0
6.24,39.89,140.67,1.0
6.44,42.22,138.04,1.0
6.42,41.9,138.36,1.0
5.32,35.87,145.22,1.0
4.62,37.88,142.65,1.0
4.43,41.01,138.45,1.0
4.5,49.61,128.13,1.0
3.28,44.75,133.12,1.0
3.26,44.89,132.94,1.0
3.88,46.55,131.65,1.0
4.29,46.86,131.67,1.0
4.41,47.34,131.61,1.0
5.23,50.25,128.82,1.0
5.41,49.81,129.62,1.0
6.13,51.91,127.73,1.0
5.99,48.61,131.55,1.0
6.19,50.12,129.96,1.0
6.14,48.14,132.27,1.0
1.09,16.86,162.83,1.0
0.66,2.67,177.8,1.0
0.01,15.35,163.14,1.0
0.79,1.57,179.12,1.0
6.87,48.16,133.36,1.0
9.12,52.16,130.91,1.0
11.29,53.37,132.02,1.0
12.65,56.44,129.93,1.0
12.8,60.88,124.16,1.0
12.31,65.62,117.81,1.0
12.39,72.41,110.7,1.0
13.4,75.58,107.89,1.0
13.89,80.16,103.1,1.0
14.25,79.23,104.87,1.0
13.01,73.99,110.09,1.0
12.51,73.28,110.28,1.0
11.8,66.34,118.12,1.0
6.3,49.75,131.58,1.0
5.38,43.24,138.35,1.0
5.4,37.26,144.94,1.0
6.47,50.83,130.65,1.0
12.26,68.43,116.55,1.0
14.21,73.69,111.9,1.0
14.11,74.63,110.7,1.0
16.47,78.27,108.32,1.0
17.04,78.74,108.03,1.0
17.01,78.44,108.08,1.0
17.66,77.05,110.13,1.0
18.25,77.41,109.72,1.0
18.72,76.82,110.11,1.0
18.49,75.36,111.37,1.0
15.29,71.43,113.01,1.0
17.63,74.37,110.59,1.0
19.19,79.03,106.49,1.0
20.93,81.44,105.87,1.0
21.44,83.29,104.28,1.0
21.17,82.49,105.1,1.0
17.43,70.39,118.06,1.0
15.49,74.57,112.79,1.0
14.44,78.66,107.78,1.0
13.38,79.55,106.18,1.0
11.16,66.83,117.21,1.0
10.06,54.3,128.87,1.0
9.15,53.9,128.68,1.0
8.19,49.54,132.39,1.0
7.04,44.53,136.11,1.0
5.78,36.68,144.17,1.0
5.76,35.67,145.27,1.0
5.76,32.47,148.99,1.0
4.08,23.53,157.56,1.0
3.99,24.74,156.0,1.0
4.38,27.84,152.85,1.0
4.66,29.29,151.34,1.0
5.06,29.75,150.99,1.0
5.48,33.46,147.21,1.0
5.19,31.43,150.07,1.0
5.29,33.05,148.46,1.0
5.43,34.37,147.31,1.0
5.85,35.11,146.89,1.0
6.01,37.98,143.95,1.0
6.81,42.08,140.34,1.0
9.19,52.32,130.85,1.0
11.77,61.5,122.49,1.0
12.38,61.62,123.1,1.0
13.33,63.07,122.06,1.0
13.3,63.71,121.05,1.0
13.16,63.39,120.92,1.0
12.85,62.57,121.57,1.0
11.69,61.14,122.22,1.0
11.46,59.02,124.79,1.0
11.24,57.67,126.77,1.0
11.03,55.76,128.56,1.0
11.02,55.04,129.33,1.0
11.39,56.78,127.15,1.0
12.14,56.45,127.76,1.0
12.83,56.41,128.53,1.0
11.46,53.29,130.99,1.0
9.62,40.39,144.64,1.0
8.75,38.69,146.0,1.0
8.65,33.74,151.85,1.0
2.76,6.5,175.9,1.0
3.81,18.65,163.58,1.0
3.56,24.61,156.68,1.0
4.32,25.37,156.62,1.0
6.62,38.56,144.24,1.0
6.43,40.63,141.92,1.0
5.93,37.02,145.45,1.0
5.29,37.38,144.1,1.0
5.54,38.02,143.26,1.0
5.85,36.53,145.22,1.0
5.26,14.86,169.43,1.0
6.48,24.87,159.66,1.0
6.29,24.7,159.44,1.0
6.74,37.55,145.34,1.0
6.59,42.18,140.33,1.0
6.56,40.65,141.93,1.0
6.33,46.46,134.87,1.0
5.21,43.59,136.98,1.0
5.24,34.11,148.43,1.0
4.7,0.23,174.64,1.0
0.81,37.08,138.52,1.0
2.35,45.78,131.97,1.0
1.59,39.03,138.92,1.0
1.36,49.5,127.02,1.0
1.53,43.76,133.53,1.0
1.12,46.77,129.76,1.0
0.81,60.19,114.07,1.0
0.55,54.41,120.2,1.0
0.76,57.67,116.26,1.0
0.53,56.6,117.36,1.0
0.65,52.69,122.42,1.0
0.61,55.7,119.41,1.0
0.36,53.19,122.06,1.0
0.38,52.19,123.01,1.0
0.48,53.09,122.13,1.0
0.31,49.87,125.25,1.0
0.16,44.96,130.73,1.0
0.09,48.16,127.35,1.0
0.16,55.22,119.12,1.0
0.2,59.76,113.68,1.0
0.65,57.68,115.9,1.0
1.22,48.78,124.77,1.0
2.41,40.03,133.1,1.0
2.51,37.94,135.31,1.0
3.62,28.24,144.89,1.0
4.84,7.62,176.97,1.0
5.12,3.6,178.36,1.0
4.0,3.98,179.98,1.0
4.13,13.47,169.85,1.0
4.12,9.21,165.53,1.0
4.03,4.89,179.08,1.0
4.26,18.76,164.39,1.0
3.85,21.13,161.28,1.0
3.82,22.96,159.17,1.0
3.72,12.57,170.32,1.0
4.08,17.97,164.78,1.0
4.05,14.74,168.27,1.0
4.3,12.8,170.66,1.0
4.45,12.85,170.8,1.0
4.54,6.39,177.99,1.0
4.72,4.73,179.99,1.0
4.87,6.11,178.67,1.0
5.8,31.8,150.57,1.0
6.22,44.64,136.3,1.0
6.1,41.5,140.02,1.0
5.45,39.49,141.74,1.0
5.33,40.86,140.19,1.0
5.31,41.31,139.75,1.0
5.19,41.11,139.62,1.0
5.44,41.46,139.49,1.0
5.66,42.79,138.42,1.0
5.61,43.11,138.08,1.0
5.44,43.17,137.87,1.0
5.21,41.75,139.29,1.0
5.47,42.61,138.52,1.0
5.64,42.82,138.43,1.0
5.67,43.3,138.0,1.0
5.65,43.14,138.11,1.0
5.58,44.59,136.55,1.0
6.04,44.83,136.76,1.0
6.4,45.54,136.47,1.0
7.04,49.53,132.6,1.0
7.73,55.94,125.75,1.0
7.49,54.84,126.8,1.0
7.37,52.93,128.84,1.0
7.19,50.06,131.7,1.0
6.71,47.65,133.92,1.0
6.66,41.16,141.64,1.0
6.57,37.05,146.21,1.0
6.55,30.6,152.94,1.0
6.33,22.24,162.71,1.0
5.77,13.7,171.43,1.0
7.01,19.26,166.66,1.0
7.7,15.37,171.67,1.0
5.23,2.76,171.38,1.0
1.39,46.04,128.73,1.0
1.08,41.23,134.34,1.0
1.36,35.38,140.11,1.0
1.69,52.4,122.24,1.0
1.89,46.37,128.75,1.0
1.84,50.34,124.42,1.0
2.02,50.86,123.29,1.0
2.14,48.79,125.43,1.0
2.04,54.97,118.29,1.0
2.11,55.65,117.7,1.0
2.12,55.79,117.62,1.0
1.9,54.84,118.72,1.0
1.42,57.77,115.87,1.0
1.3,57.26,116.56,1.0
1.3,61.42,111.61,1.0
0.95,61.33,112.02,1.0
0.97,59.61,114.23,1.0
0.93,60.56,113.3,1.0
1.27,59.8,113.89,1.0
1.28,58.32,115.41,1.0
1.18,57.79,116.08,1.0
1.05,40.94,134.58,1.0
1.52,39.59,135.84,1.0
1.42,47.92,126.69,1.0
1.42,53.39,120.81,1.0
1.56,53.57,120.51,1.0
1.59,56.44,116.9,1.0
1.49,39.88,134.94,1.0
1.44,43.52,130.91,1.0
1.03,54.5,119.37,1.0
1.07,50.07,124.27,1.0
1.45,47.53,126.78,1.0
1.31,25.31,150.22,1.0
1.54,25.09,149.97,1.0
1.59,15.37,161.14,1.0
2.44,14.77,166.13,1.0
2.8,9.37,172.5,1.0
2.74,15.32,165.37,1.0
2.85,10.29,171.4,1.0
2.98,16.62,164.19,1.0
2.92,18.55,161.92,1.0
2.78,18.68,161.95,1.0
2.75,19.78,160.68,1.0
2.76,21.02,159.25,1.0
2.61,23.11,156.73,1.0
1.13,21.35,157.1,1.0
1.18,18.48,160.46,1.0
2.75,0.27,177.25,1.0
3.64,7.84,175.31,1.0
12.64,44.89,142.41,1.0
13.69,50.21,137.18,1.0
15.41,64.38,123.25,1.0
25.85,78.89,114.6,1.0
27.52,79.99,114.24,1.0
26.59,81.14,112.05,1.0
26.43,78.7,113.99,1.0
27.03,78.16,114.89,1.0
25.92,77.74,113.81,1.0
25.68,77.57,113.45,1.0
24.6,79.56,109.71,1.0
25.48,81.38,108.47,1.0
26.27,84.18,106.64,1.0
26.51,83.13,108.05,1.0
26.94,81.9,109.79,1.0
26.96,83.62,107.59,1.0
26.52,82.55,109.06,1.0
26.86,83.23,108.42,1.0
27.03,83.38,108.41,1.0
26.65,83.79,107.97,1.0
26.57,83.94,107.71,1.0
26.74,84.1,107.57,1.0
26.93,84.38,107.36,1.0
27.01,84.44,107.31,1.0
26.79,84.22,107.4,1.0
26.8,84.27,107.37,1.0
26.85,84.3,107.32,1.0
26.57,84.33,107.04,1.0
26.49,84.19,107.2,1.0
26.45,84.13,107.21,1.0
26.3,83.08,108.05,1.0
26.58,84.56,106.33,1.0
27.1,85.29,105.65,1.0
26.94,84.03,107.07,1.0
26.81,83.79,107.35,1.0
26.61,83.25,107.9,1.0
26.64,82.69,108.86,1.0
26.7,83.02,108.57,1.0
26.72,83.14,108.5,1.0
26.75,83.09,108.62,1.0
26.63,82.82,108.79,1.0
26.55,82.49,109.17,1.0
26.58,82.52,109.27,1.0
26.58,82.55,109.31,1.0
26.56,82.39,109.51,1.0
26.37,81.23,110.82,1.0
26.39,81.42,110.7,1.0
26.49,82.34,108.81,1.0
25.21,82.84,107.94,1.0
25.23,83.01,107.75,1.0
25.6,83.75,107.03,1.0
25.59,83.42,107.41,1.0
25.47,82.81,108.07,1.0
25.4,82.43,108.53,1.0
25.38,82.55,108.17,1.0
25.44,82.8,107.9,1.0
25.31,81.55,109.19,1.0
25.34,80.96,109.88,1.0
25.38,81.16,109.66,1.0
25.5,81.44,109.23,1.0
25.56,81.62,109.07,1.0
25.56,81.57,109.16,1.0
25.63,81.83,108.84,1.0
25.79,81.91,108.85,1.0
25.88,82.0,108.7,1.0
25.93,81.66,109.15,1.0
26.13,81.78,109.3,1.0
26.16,81.61,109.79,1.0
27.12,83.55,108.45,1.0
28.21,85.34,107.35,1.0
28.19,87.56,104.93,1.0
28.49,88.75,103.74,1.0
28.09,90.4,101.01,1.0
27.63,91.02,99.82,1.0
27.27,91.04,99.55,1.0
27.97,91.63,99.58,1.0
27.18,90.81,99.86,1.0
27.53,91.05,99.58,1.0
27.59,91.14,99.49,1.0
27.24,90.86,99.41,1.0
27.19,90.93,99.2,1.0
27.06,90.86,99.2,1.0
27.19,90.72,99.42,1.0
27.14,90.5,99.75,1.0
27.29,90.56,99.79,1.0
27.51,90.65,99.87,1.0
27.62,90.94,99.53,1.0
27.81,91.12,99.48,1.0
27.91,91.14,99.53,1.0
28.07,91.56,99.15,1.0
28.09,91.58,99.15,1.0
28.33,90.29,100.46,1.0
28.22,89.34,101.62,1.0
27.96,89.44,101.42,1.0
27.26,88.98,101.59,1.0
26.75,88.76,101.46,1.0
26.62,88.72,101.49,1.0
26.78,88.86,101.58,1.0
26.77,88.57,102.0,1.0
26.88,88.64,102.04,1.0
26.96,88.53,102.29,1.0
26.99,88.53,102.36,1.0
27.07,88.5,102.81,1.0
27.14,89.86,101.24,1.0
27.19,90.84,99.35,1.0
25.93,90.23,99.2,1.0
26.06,89.82,99.73,1.0
26.34,90.88,98.89,1.0
26.43,91.48,98.36,1.0
26.47,92.28,97.57,1.0
27.02,94.07,95.46,1.0
27.34,94.47,95.2,1.0
27.32,94.73,94.89,1.0
27.3,94.63,95.07,1.0
27.37,94.98,94.73,1.0
27.47,95.09,94.48,1.0
27.51,95.13,94.52,1.0
27.53,95.45,93.98,1.0
27.54,95.63,93.5,1.0
27.62,95.5,93.83,1.0
27.57,95.62,93.74,1.0
27.47,95.48,93.95,1.0
27.19,94.93,94.47,1.0
26.72,94.74,94.32,1.0
26.54,94.16,94.72,1.0
26.49,92.48,97.16,1.0
26.88,92.69,97.17,1.0
27.4,93.06,96.6,1.0
25.9,88.75,101.04,1.0
26.79,89.24,100.26,1.0
27.92,89.57,100.83,1.0
28.19,87.45,103.62,1.0
28.55,88.06,103.52,1.0
28.91,88.53,103.14,1.0
28.8,89.64,102.21,1.0
28.51,89.14,102.55,1.0
28.47,88.93,102.72,1.0
28.36,87.79,103.85,1.0
28.42,87.57,104.17,1.0
28.61,87.7,104.19,1.0
28.69,87.85,104.13,1.0
28.75,88.1,103.98,1.0
28.87,88.19,104.0,1.0
28.89,88.22,103.98,1.0
28.83,87.83,104.4,1.0
28.86,87.95,104.29,1.0
28.96,88.2,104.05,1.0
28.62,87.95,103.94,1.0
28.67,88.58,102.91,1.0
28.14,89.22,102.02,1.0
28.31,89.8,101.57,1.0
30.46,89.38,103.73,1.0
31.04,89.14,104.11,1.0
30.62,89.6,103.18,1.0
30.89,89.76,102.9,1.0
30.59,89.32,102.96,1.0
30.25,89.13,102.72,1.0
30.07,89.35,102.32,1.0
29.96,90.04,101.53,1.0
29.98,90.19,101.39,1.0
30.05,90.22,101.58,1.0
30.4,90.11,101.85,1.0
30.31,90.15,101.7,1.0
29.15,89.86,101.19,1.0
28.78,91.96,97.98,1.0
27.69,91.79,97.52,1.0
27.31,91.22,98.11,1.0
27.37,91.59,98.11,1.0
27.8,92.25,97.89,1.0
28.37,92.27,97.99,1.0
29.19,92.78,97.54,1.0
29.68,93.35,96.87,1.0
30.46,93.6,97.12,1.0
31.25,93.74,97.6,1.0
31.64,94.04,97.53,1.0
31.64,94.26,97.4,1.0
32.0,93.91,98.21,1.0
32.02,93.1,99.1,1.0
31.99,93.01,99.23,1.0
31.62,92.82,99.21,1.0
31.57,92.7,99.34,1.0
30.83,92.53,100.21,1.0
27.58,92.07,97.7,1.0
26.99,91.4,98.38,1.0
27.37,91.08,99.15,1.0
27.44,91.03,99.2,1.0
27.56,91.31,98.92,1.0
27.17,90.89,98.99,1.0
27.24,90.86,98.97,1.0
27.11,91.01,98.55,1.0
27.19,91.26,98.33,1.0
27.27,91.59,98.17,1.0
27.33,91.57,98.38,1.0
27.38,91.77,98.3,1.0
27.53,91.75,98.47,1.0
27.52,91.6,98.82,1.0
27.55,91.61,98.91,1.0
27.62,91.64,98.98,1.0
27.69,91.72,98.95,1.0
27.59,90.61,100.05,1.0
27.55,90.24,100.44,1.0
27.46,89.94,100.73,1.0
27.46,89.89,100.82,1.0
27.43,89.68,101.1,1.0
27.35,89.42,101.46,1.0
27.38,89.41,101.49,1.0
27.36,89.12,101.81,1.0
27.37,89.02,101.94,1.0
27.24,88.47,102.35,1.0
27.03,88.47,102.55,1.0
26.05,87.54,102.75,1.0
28.91,85.12,108.04,1.0
33.08,92.65,102.61,1.0
38.57,96.99,100.65,1.0
39.56,100.21,98.04,1.0
39.69,100.42,97.56,1.0
39.25,100.0,96.58,1.0
